업종,시도,당월
결혼상담소,서울특별시,486
결혼상담소,세종특별자치시,11
결혼상담소,울산광역시,30
결혼상담소,인천광역시,72
결혼상담소,전라남도,44
결혼상담소,전라북도,88
결혼상담소,제주특별자치도,30
결혼상담소,충청남도,77
결혼상담소,충청북도,58
곡물가게,강원특별자치도,323
곡물가게,경기도,957
곡물가게,경상남도,304
곡물가게,경상북도,400
곡물가게,광주광역시,91
곡물가게,대구광역시,192
곡물가게,대전광역시,150
곡물가게,부산광역시,299
곡물가게,서울특별시,594
곡물가게,세종특별자치시,30
곡물가게,울산광역시,43
곡물가게,인천광역시,210
곡물가게,전라남도,420
곡물가게,전라북도,387
곡물가게,제주특별자치도,72
곡물가게,충청남도,389
곡물가게,충청북도,263
공인노무사,강원특별자치도,27
공인노무사,경기도,256
공인노무사,경상남도,54
공인노무사,경상북도,22
공인노무사,광주광역시,29
공인노무사,대구광역시,39
공인노무사,대전광역시,31
공인노무사,부산광역시,93
공인노무사,서울특별시,587
공인노무사,세종특별자치시,11
공인노무사,울산광역시,34
공인노무사,인천광역시,56
공인노무사,전라남도,17
공인노무사,전라북도,37
공인노무사,제주특별자치도,12
공인노무사,충청남도,30
공인노무사,충청북도,15
공인회계사,강원특별자치도,14
공인회계사,경기도,333
공인회계사,경상남도,73
공인회계사,경상북도,22
공인회계사,광주광역시,32
공인회계사,대구광역시,91
공인회계사,대전광역시,34
공인회계사,부산광역시,134
공인회계사,서울특별시,893
공인회계사,세종특별자치시,10
공인회계사,울산광역시,27
공인회계사,인천광역시,68
공인회계사,전라남도,19
공인회계사,전라북도,32
공인회계사,제주특별자치도,35
공인회계사,충청남도,34
공인회계사,충청북도,29
과일가게,강원특별자치도,361
과일가게,경기도,2329
과일가게,경상남도,1284
과일가게,경상북도,1446
과일가게,광주광역시,357
과일가게,대구광역시,451
과일가게,대전광역시,312
과일가게,부산광역시,723
과일가게,서울특별시,1337
과일가게,세종특별자치시,109
과일가게,울산광역시,167
과일가게,인천광역시,524
과일가게,전라남도,698
과일가게,전라북도,607
과일가게,제주특별자치도,1129
과일가게,충청남도,723
과일가게,충청북도,622
교습소ㆍ공부방,강원특별자치도,1452
교습소ㆍ공부방,경기도,15010
교습소ㆍ공부방,경상남도,3513
교습소ㆍ공부방,경상북도,2710
교습소ㆍ공부방,광주광역시,1150
교습소ㆍ공부방,대구광역시,3619
교습소ㆍ공부방,대전광역시,1793
교습소ㆍ공부방,부산광역시,3789
교습소ㆍ공부방,서울특별시,9732
교습소ㆍ공부방,세종특별자치시,631
교습소ㆍ공부방,울산광역시,1243
교습소ㆍ공부방,인천광역시,2959
교습소ㆍ공부방,전라남도,1210
교습소ㆍ공부방,전라북도,1155
교습소ㆍ공부방,제주특별자치도,907
교습소ㆍ공부방,충청남도,1854
교습소ㆍ공부방,충청북도,1417
교습학원,강원특별자치도,1553
교습학원,경기도,17882
교습학원,경상남도,4313
교습학원,경상북도,2846
교습학원,광주광역시,2529
교습학원,대구광역시,3208
교습학원,대전광역시,1437
교습학원,부산광역시,3983
교습학원,서울특별시,11325
교습학원,세종특별자치시,742
교습학원,울산광역시,1762
교습학원,인천광역시,3036
교습학원,전라남도,1877
교습학원,전라북도,2535
교습학원,제주특별자치도,861
교습학원,충청남도,2111
교습학원,충청북도,1646
구내식당,강원특별자치도,473
구내식당,경기도,4083
구내식당,경상남도,1476
구내식당,경상북도,1081
구내식당,광주광역시,321
구내식당,대구광역시,741
구내식당,대전광역시,519
구내식당,부산광역시,1140
구내식당,서울특별시,2805
