업종,시도,시군구,당월,전월,전년동월
가구점,충청남도,계룡시,5,5,4
가구점,충청남도,당진시,18,18,18
가구점,충청남도,금산군,7,7,7
가구점,충청남도,부여군,5,5,5
가구점,충청남도,서천군,4,4,3
가구점,충청남도,청양군,7,7,6
가구점,충청남도,홍성군,17,17,16
가구점,충청남도,예산군,19,19,17
가구점,충청남도,태안군,3,3,5
가구점,전라북도,전주시 완산구,109,108,110
가구점,전라북도,전주시 덕진구,55,55,54
가구점,전라북도,군산시,65,65,70
가구점,전라북도,익산시,63,61,63
가구점,전라북도,정읍시,17,17,18
가구점,전라북도,남원시,18,19,20
가구점,전라북도,김제시,34,34,33
가구점,전라북도,완주군,16,16,15
가구점,전라북도,진안군,0,0,0
가구점,전라북도,무주군,0,0,0
가구점,전라북도,장수군,0,0,0
가구점,전라북도,임실군,3,3,3
가구점,전라북도,순창군,0,0,0
가구점,전라북도,고창군,8,8,7
가구점,전라북도,부안군,7,7,6
가구점,전라남도,목포시,52,52,53
가구점,전라남도,여수시,48,48,51
가구점,전라남도,순천시,65,67,70
가구점,전라남도,나주시,17,17,16
가구점,전라남도,광양시,16,16,18
가구점,전라남도,담양군,5,5,5
가구점,전라남도,곡성군,0,0,0
가구점,전라남도,구례군,5,5,5
가구점,전라남도,고흥군,6,6,6
가구점,전라남도,보성군,4,4,4
가구점,전라남도,화순군,3,3,4
가구점,전라남도,장흥군,4,4,3
가구점,전라남도,강진군,3,3,3
가구점,전라남도,해남군,11,11,12
가구점,전라남도,영암군,7,7,7
가구점,전라남도,무안군,7,6,7
가구점,전라남도,함평군,4,4,0
가구점,전라남도,영광군,9,9,9
가구점,전라남도,장성군,10,10,9
가구점,전라남도,완도군,3,3,3
가구점,전라남도,진도군,5,5,6
가구점,경상북도,포항시 남구,30,30,25
가구점,경상북도,포항시 북구,60,60,64
가구점,경상북도,경주시,48,49,50
가구점,경상북도,김천시,22,22,25
가구점,경상북도,안동시,47,48,49
가구점,경상북도,구미시,46,44,52
가구점,경상북도,영주시,27,27,26
가구점,경상북도,영천시,10,10,11
가구점,경상북도,상주시,15,15,15
가구점,경상북도,문경시,13,13,12
가구점,경상북도,경산시,45,43,47
가구점,경상북도,의성군,5,5,5
가구점,경상북도,청송군,0,0,0
가구점,경상북도,영양군,0,0,0
가구점,경상북도,영덕군,0,0,0
가구점,경상북도,청도군,0,0,0
가구점,경상북도,고령군,7,7,7
가구점,경상북도,성주군,7,7,7
가구점,경상북도,칠곡군,35,35,37
가구점,경상북도,예천군,5,5,6
가구점,경상북도,봉화군,0,0,0
가구점,경상북도,울진군,14,14,13
가구점,경상북도,울릉군,0,0,0
가구점,경상남도,창원시 의창구,49,50,52
가구점,경상남도,창원시 성산구,22,22,25
가구점,경상남도,창원시 마산합포구,41,42,40
가구점,경상남도,창원시 마산회원구,9,10,10
가구점,경상남도,창원시 진해구,19,19,19
가구점,경상남도,진주시,60,60,67
가구점,경상남도,통영시,21,21,22
가구점,경상남도,사천시,22,21,22
가구점,경상남도,김해시,130,127,134
가구점,경상남도,밀양시,12,12,14
가구점,경상남도,거제시,33,33,34
가구점,경상남도,양산시,62,63,74
가구점,경상남도,의령군,0,0,0
가구점,경상남도,함안군,8,8,6
가구점,경상남도,창녕군,7,7,7
가구점,경상남도,고성군,6,6,5
가구점,경상남도,남해군,7,7,8
가구점,경상남도,하동군,7,7,7
가구점,경상남도,산청군,0,0,0
가구점,경상남도,함양군,4,4,4
가구점,경상남도,거창군,9,9,9
가구점,경상남도,합천군,8,8,8
가구점,제주특별자치도,제주시,152,152,154
